2024/07/31 00:34:33 [error] 13404#15808: *4406 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4407 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4408 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4409 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4410 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4411 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4412 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4413 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4414 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4415 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4416 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4417 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4418 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
